,supply,demand,risk
2007-07-31,0.02088110567851019,0.0075925439866116225,0.11947427643386575
2007-08-01,-0.02065161783328591,-0.000585918103480926,0.014042744945168769
2007-08-02,0.013955159166606272,-0.02174904734560688,-0.10202294552770294
2007-08-03,0.0063304911182229875,-0.00856120932339502,0.16892711953059092
2007-08-06,-0.050685401408851895,-0.0061061624816022885,-0.08103730158671783
2007-08-07,-0.006635353724788273,0.014576741936782624,-0.058915059153960746
2007-08-08,-0.02511480548215176,0.017717324531306183,-0.007117956896564517
2007-08-09,0.0043981032987125395,0.0012581188436406043,0.20845586561530474
2007-08-10,-0.0038867433944368064,0.01714893592908786,0.08120564053423517
2007-08-13,-0.001616026264791725,-0.005331280521769519,-0.04452101943719486
2007-08-14,0.007465517288319944,0.0009748765959096042,0.0525054275055355
2007-08-15,0.03331563957725356,-0.010915581272659739,0.11630879104718077
2007-08-16,-0.022523184131187233,-0.0023644521657609336,0.02593864551057871
2007-08-17,-0.01728393679631704,0.03493712025410402,-0.008537204644030648
2007-08-20,-0.0029467553573671746,-0.01904977059627654,-0.1152489083036228
2007-08-21,-0.004672887755912852,-0.019944900302365155,-0.03921117778791438
2007-08-22,-0.005588181218109527,-0.002507414643301809,-0.09919581577484754
2007-08-23,0.010855809785613593,0.005809792757778449,-0.02097523615911657
2007-08-24,-0.0018970366262804593,0.00700433863565356,-0.0969432010276107
2007-08-27,0.01167002638520119,-0.0012110283535449688,0.07654216983082018
2007-08-28,0.008429864532880697,-0.004039875155984966,0.1399084897261448
2007-08-29,0.0007193211016541939,0.0189793794538948,-0.09307787007736985
2007-08-30,-0.00416001191979439,0.00648872835482681,0.04862820452087043
2007-08-31,0.003328526594531786,0.003265223137744482,-0.06742894223484378
2007-09-03,0.0002654328096911659,-0.0006082561477976159,-0.004026915210584699
2007-09-04,0.004290521095762494,0.013680677535678532,-0.02964103721528072
2007-09-05,0.007600411878257919,0.004911479442621431,0.07058418053308851
2007-09-06,-0.004777125974987443,0.011797484628409023,-0.022891230171057684
2007-09-07,0.017657386341959038,-0.008799873571396086,0.08849430343617351
2007-09-10,0.0051907591944154305,0.0056512102248594525,0.049651841037794194
2007-09-11,0.0014595250373785323,0.006654966022088678,-0.07054326871962557
2007-09-12,0.012086396992227702,0.005453741440547289,-0.010345754846947474
2007-09-13,-0.011565928262617986,0.005160214802695164,-0.007285610756504869
2007-09-14,-0.013884173391080968,0.003680458861028474,0.006442775010122695
2007-09-17,0.00656283108712122,0.010976132633084092,0.061246627839194344
2007-09-18,-0.006255085819131003,-0.007773719013883889,-0.25777408693371556
2007-09-19,0.005948486384737073,0.003834936540111988,-0.032858580773512766
2007-09-20,0.008377653931693853,-8.976033525235651e-05,0.004076031078468205
2007-09-21,0.0010739165978673193,-0.006749708363297235,-0.08686250347006072
