,XLE,XLB,XLI,XLF,XME,VAW,VIS,VFH,IYM,IYJ
2007-07-31,-0.009806994505010554,-0.012102890221186166,-0.01360855129541686,-0.03229927793498049,-0.007411424513500203,-0.009094940549456528,-0.005360010396446441,-0.01854706135392456,-0.0037698003905874216,-0.009382044765003292
2007-08-01,-0.0026119317255011705,0.00581838074660086,0.007331026150302213,0.011182628231565734,-0.008488921016762688,0.004982452548301951,0.0002681825809349016,0.006276712691578379,-0.0024730880324745847,0.004634448046712824
2007-08-02,-0.006852452216579831,0.002518232109089706,0.006778608403692319,0.006591658312889522,0.0017035919107928881,-0.00012152158293505686,0.004958053231729393,0.004219620969946259,0.0,0.007585902377741057
2007-08-03,-0.03317066945751237,-0.03403119569986517,-0.02072896487111324,-0.04363779935936786,-0.030941948126963603,-0.027904105872358583,-0.022302825583006506,-0.039328630249243095,-0.0276087659083471,-0.024868574306752805
2007-08-06,0.005730616542011161,0.011644531351657791,0.014957551993759597,0.049888476496964214,-0.004046206112034689,0.004105077569849678,0.015192920137987542,0.038148683747645046,0.0017948996373434345,0.014013795274310846
2007-08-07,0.023187790487185913,0.007177938662103389,0.0,0.007096537468845136,0.0012326616148306232,0.003841229621300446,0.0012112255547770984,0.011899879867054911,0.009517856680264815,0.002996722474712788
2007-08-08,0.01877637327107242,0.02547079743761643,0.007771066587426686,0.023585133913646902,0.034605995554525155,0.025398387631534503,0.008701825915983865,0.022569215190835587,0.02384070020991577,0.006642474792085426
2007-08-09,-0.029114355129184772,-0.025470797437616405,-0.02708057712789528,-0.03663396686050899,-0.03513378836085319,-0.03234805486800119,-0.02948951248641746,-0.028082197817722653,-0.030077008602483545,-0.02434440062798267
2007-08-10,0.005330126345077095,-0.012078025130901412,-0.01161084712052486,-0.004487613503748585,0.004394400217179209,-0.0007474703433603988,-0.004126932857993384,-0.005375469862269831,-0.0038792806476150186,-0.004718290675934121
2007-08-13,0.001180548520970106,0.004385670024250738,0.01340555027130172,-0.009036403016962602,-0.004922813178049341,0.005220863171925436,0.01110437855018595,-0.009647105798382283,0.0029854088582990535,0.008449121351477303
2007-08-14,-0.006659485869832752,-0.026077254166175314,-0.02594223001520037,-0.017704910076275025,-0.024260745140109306,-0.02536272788573761,-0.02010532662435112,-0.024098050281596183,-0.019722505041576858,-0.018093918240566595
2007-08-15,-0.027852409529151318,-0.025419490296269685,-0.011896833716197484,-0.008971095995312383,-0.02968920707972565,-0.03270034630873359,-0.027070704694658904,-0.011564721524258423,-0.035123363733051916,-0.023302670429291808
2007-08-16,-0.006125939597780129,-0.013642433808914412,0.0005316697268641854,0.02969705389249984,-0.01480389558362215,-0.005533911939533786,-0.00028553552984688583,0.03821011939869096,-0.014434292418137434,-0.0005755392597204368
2007-08-17,0.036203206785400115,0.013642433808914375,0.0100496731591187,0.03991693367964568,0.017961413591457847,0.01949435719770014,0.022475764360889338,0.030735659585883018,0.021652309099572865,0.018244741599182768
2007-08-20,-0.002224857658468757,0.018526412877206782,0.014370516818570331,-0.013423385408903315,0.0018524638411746125,0.014279392517848702,0.008490780005605032,-0.004947064599022608,0.014589470350647133,0.006335906912161108
2007-08-21,-0.014205899713592906,0.006099725921298212,-0.0038987638330398545,0.007026100785423487,0.017793185719369945,0.004587979127742455,-0.0015259814887847317,0.006755252033634961,0.004765229919373379,0.000420415211770668
2007-08-22,0.011976571985887547,0.037113601382477795,0.017809223688681455,0.0026217711366903116,0.032202990418653,0.029317722135986504,0.01965536322363977,0.006546344218663952,0.032735556417489216,0.02137518198574094
2007-08-23,0.008888813597537994,-0.019293381207783802,-0.005386661734742562,0.0014539428521058906,-0.0038799896770446035,-0.005943769642754269,-0.007514029918848007,-0.005561771628746777,-0.006701135846297307,-0.008411632022982446
2007-08-24,0.021160953915657702,0.023108118327721965,0.008197187614131216,0.0034802408751972254,0.033371089856304166,0.018703215989501393,0.014432194860359187,0.005399081095432585,0.016595646377555357,0.013069939570875346
2007-08-27,-0.0123503592357898,-0.00892290288561202,-0.002299047041521621,-0.01164815189431708,-0.019853948341297594,-0.008692986965440878,-0.005286196456273748,-0.01297369223869331,-0.003828157423582852,-0.005344788512381738
2007-08-28,-0.024418849708811266,-0.02331751771019052,-0.02432843900285553,-0.030332525013787654,-0.0373042901734776,-0.028058325023450254,-0.027413658145342547,-0.030033259309392227,-0.028579814045314803,-0.025187632773147083
2007-08-29,0.032572421564715445,0.019468596569384343,0.02330577626714109,0.012005038144057015,0.031007055455815488,0.023127416376690052,0.02128041138018065,0.016721824143277098,0.0202847868708792,0.018707599354478504
2007-08-30,-0.0005798359489023066,-0.002574202250804891,-0.006162167765553189,-0.0062847494615056055,-0.009166076259607804,-0.0004942783194988703,-0.0019161108428153136,-0.007735003548890591,0.0028219724800273714,-0.0020766469186109695
2007-08-31,0.01311715879531125,0.008980648545397726,0.015080239079809874,0.01312287605205521,0.02535305401033576,0.015458127358239043,0.01306494859212685,0.018232973131006462,0.01282179953157331,0.012397226105491195
