,XLE,XLB,XLI,XLF,XME,VAW,VIS,VFH,IYM,IYJ,supply,demand,risk
2007-07-31,-0.009806994505010554,-0.012102890221186166,-0.01360855129541686,-0.03229927793498049,-0.007411424513500203,-0.009094940549456528,-0.005360010396446441,-0.01854706135392456,-0.0037698003905874216,-0.009382044765003292,0.0208811056785101,0.0075925439866116,0.1194742764338657
2007-08-01,-0.0026119317255011705,0.00581838074660086,0.007331026150302213,0.011182628231565734,-0.008488921016762688,0.004982452548301951,0.0002681825809349016,0.006276712691578379,-0.0024730880324745847,0.004634448046712824,-0.0206516178332859,-0.0005859181034809,0.0140427449451687
2007-08-02,-0.006852452216579831,0.002518232109089706,0.006778608403692319,0.006591658312889522,0.0017035919107928881,-0.00012152158293505686,0.004958053231729393,0.004219620969946259,0.0,0.007585902377741057,0.0139551591666062,-0.0217490473456068,-0.1020229455277029
2007-08-03,-0.03317066945751237,-0.03403119569986517,-0.02072896487111324,-0.04363779935936786,-0.030941948126963603,-0.027904105872358583,-0.022302825583006506,-0.039328630249243095,-0.0276087659083471,-0.024868574306752805,0.0063304911182229,-0.008561209323395,0.1689271195305909
2007-08-06,0.005730616542011161,0.011644531351657791,0.014957551993759597,0.049888476496964214,-0.004046206112034689,0.004105077569849678,0.015192920137987542,0.038148683747645046,0.0017948996373434345,0.014013795274310846,-0.0506854014088518,-0.0061061624816022,-0.0810373015867178
2007-08-07,0.023187790487185913,0.007177938662103389,0.0,0.007096537468845136,0.0012326616148306232,0.003841229621300446,0.0012112255547770984,0.011899879867054911,0.009517856680264815,0.002996722474712788,-0.0066353537247882,0.0145767419367826,-0.0589150591539607
2007-08-08,0.01877637327107242,0.02547079743761643,0.007771066587426686,0.023585133913646902,0.034605995554525155,0.025398387631534503,0.008701825915983865,0.022569215190835587,0.02384070020991577,0.006642474792085426,-0.0251148054821517,0.0177173245313061,-0.0071179568965645
2007-08-09,-0.029114355129184772,-0.025470797437616405,-0.02708057712789528,-0.03663396686050899,-0.03513378836085319,-0.03234805486800119,-0.02948951248641746,-0.028082197817722653,-0.030077008602483545,-0.02434440062798267,0.0043981032987125,0.0012581188436406,0.2084558656153047
2007-08-10,0.005330126345077095,-0.012078025130901412,-0.01161084712052486,-0.004487613503748585,0.004394400217179209,-0.0007474703433603988,-0.004126932857993384,-0.005375469862269831,-0.0038792806476150186,-0.004718290675934121,-0.0038867433944368,0.0171489359290878,0.0812056405342351
2007-08-13,0.001180548520970106,0.004385670024250738,0.01340555027130172,-0.009036403016962602,-0.004922813178049341,0.005220863171925436,0.01110437855018595,-0.009647105798382283,0.0029854088582990535,0.008449121351477303,-0.0016160262647917,-0.0053312805217695,-0.0445210194371948
2007-08-14,-0.006659485869832752,-0.026077254166175314,-0.02594223001520037,-0.017704910076275025,-0.024260745140109306,-0.02536272788573761,-0.02010532662435112,-0.024098050281596183,-0.019722505041576858,-0.018093918240566595,0.0074655172883199,0.0009748765959096,0.0525054275055355
2007-08-15,-0.027852409529151318,-0.025419490296269685,-0.011896833716197484,-0.008971095995312383,-0.02968920707972565,-0.03270034630873359,-0.027070704694658904,-0.011564721524258423,-0.035123363733051916,-0.023302670429291808,0.0333156395772535,-0.0109155812726597,0.1163087910471807
2007-08-16,-0.006125939597780129,-0.013642433808914412,0.0005316697268641854,0.02969705389249984,-0.01480389558362215,-0.005533911939533786,-0.00028553552984688583,0.03821011939869096,-0.014434292418137434,-0.0005755392597204368,-0.0225231841311872,-0.0023644521657609,0.0259386455105787
2007-08-17,0.036203206785400115,0.013642433808914375,0.0100496731591187,0.03991693367964568,0.017961413591457847,0.01949435719770014,0.022475764360889338,0.030735659585883018,0.021652309099572865,0.018244741599182768,-0.017283936796317,0.034937120254104,-0.0085372046440306
2007-08-20,-0.002224857658468757,0.018526412877206782,0.014370516818570331,-0.013423385408903315,0.0018524638411746125,0.014279392517848702,0.008490780005605032,-0.004947064599022608,0.014589470350647133,0.006335906912161108,-0.0029467553573671,-0.0190497705962765,-0.1152489083036228
2007-08-21,-0.014205899713592906,0.006099725921298212,-0.0038987638330398545,0.007026100785423487,0.017793185719369945,0.004587979127742455,-0.0015259814887847317,0.006755252033634961,0.004765229919373379,0.000420415211770668,-0.0046728877559128,-0.0199449003023651,-0.0392111777879143
2007-08-22,0.011976571985887547,0.037113601382477795,0.017809223688681455,0.0026217711366903116,0.032202990418653,0.029317722135986504,0.01965536322363977,0.006546344218663952,0.032735556417489216,0.02137518198574094,-0.0055881812181095,-0.0025074146433018,-0.0991958157748475
2007-08-23,0.008888813597537994,-0.019293381207783802,-0.005386661734742562,0.0014539428521058906,-0.0038799896770446035,-0.005943769642754269,-0.007514029918848007,-0.005561771628746777,-0.006701135846297307,-0.008411632022982446,0.0108558097856135,0.0058097927577784,-0.0209752361591165
